2019-11-24 11:54:00,754:INFO: 


2019-11-24 16:51:25,031:INFO: [EPOCH 00036]train_loss, train_metric: 0.00464, 0.86326; val_loss, val_metric: 0.00784, 0.81437; time elapsed: 8.1 min
2019-11-24 16:59:27,050:INFO: [EPOCH 00037]train_loss, train_metric: 0.00453, 0.86573; val_loss, val_metric: 0.00802, 0.81591; time elapsed: 8.0 min
2019-11-24 17:07:33,773:INFO: [EPOCH 00038]train_loss, train_metric: 0.00443, 0.86850; val_loss, val_metric: 0.00796, 0.82314; time elapsed: 8.1 min
2019-11-24 17:15:33,326:INFO: [EPOCH 00039]train_loss, train_metric: 0.00436, 0.86883; val_loss, val_metric: 0.00784, 0.82365; time elapsed: 8.0 min
2019-11-24 17:23:39,895:INFO: [EPOCH 00040]train_loss, train_metric: 0.00422, 0.87088; val_loss, val_metric: 0.00796, 0.82267; time elapsed: 8.1 min
2019-11-24 17:31:46,841:INFO: [EPOCH 00041]train_loss, train_metric: 0.00428, 0.87056; val_loss, val_metric: 0.00771, 0.81525; time elapsed: 8.1 min
2019-11-24 17:39:52,816:INFO: [EPOCH 00042]train_loss, train_metric: 0.00404, 0.87449; val_loss, val_metric: 0.00784, 0.81737; time elapsed: 8.1 min
2019-11-24 17:48:02,094:INFO: [EPOCH 00043]train_loss, train_metric: 0.00416, 0.87281; val_loss, val_metric: 0.00802, 0.81995; time elapsed: 8.2 min
2019-11-24 17:56:09,192:INFO: [EPOCH 00044]train_loss, train_metric: 0.00412, 0.87498; val_loss, val_metric: 0.00878, 0.82051; time elapsed: 8.1 min
2019-11-24 18:04:22,331:INFO: [EPOCH 00045]train_loss, train_metric: 0.00394, 0.87758; val_loss, val_metric: 0.00801, 0.81818; time elapsed: 8.2 min
2019-11-24 18:12:36,676:INFO: [EPOCH 00046]train_loss, train_metric: 0.00386, 0.87653; val_loss, val_metric: 0.00816, 0.82361; time elapsed: 8.2 min
2019-11-24 18:20:51,755:INFO: [EPOCH 00047]train_loss, train_metric: 0.00395, 0.87703; val_loss, val_metric: 0.00812, 0.82324; time elapsed: 8.3 min
2019-11-24 18:29:03,439:INFO: [EPOCH 00048]train_loss, train_metric: 0.00385, 0.87825; val_loss, val_metric: 0.00834, 0.82403; time elapsed: 8.2 min
2019-11-24 18:37:14,390:INFO: [EPOCH 00049]train_loss, train_metric: 0.00363, 0.88037; val_loss, val_metric: 0.00837, 0.82804; time elapsed: 8.2 min
2019-11-24 18:45:27,518:INFO: [EPOCH 00050]train_loss, train_metric: 0.00376, 0.87939; val_loss, val_metric: 0.00826, 0.81778; time elapsed: 8.2 min
2019-11-24 18:53:39,781:INFO: [EPOCH 00051]train_loss, train_metric: 0.00361, 0.88289; val_loss, val_metric: 0.00845, 0.82409; time elapsed: 8.2 min
2019-11-24 19:01:55,283:INFO: [EPOCH 00052]train_loss, train_metric: 0.00355, 0.88137; val_loss, val_metric: 0.00865, 0.82225; time elapsed: 8.3 min
2019-11-24 19:10:11,363:INFO: [EPOCH 00053]train_loss, train_metric: 0.00352, 0.88159; val_loss, val_metric: 0.00910, 0.82007; time elapsed: 8.3 min
2019-11-24 19:18:30,543:INFO: [EPOCH 00054]train_loss, train_metric: 0.00360, 0.88070; val_loss, val_metric: 0.00874, 0.82109; time elapsed: 8.3 min
2019-11-24 19:26:48,438:INFO: [EPOCH 00055]train_loss, train_metric: 0.00344, 0.88404; val_loss, val_metric: 0.00878, 0.82161; time elapsed: 8.3 min
2019-11-24 19:35:05,853:INFO: [EPOCH 00056]train_loss, train_metric: 0.00340, 0.88652; val_loss, val_metric: 0.00864, 0.81940; time elapsed: 8.3 min
2019-11-24 19:43:18,243:INFO: [EPOCH 00057]train_loss, train_metric: 0.00338, 0.88567; val_loss, val_metric: 0.00857, 0.82340; time elapsed: 8.2 min
2019-11-24 19:51:32,542:INFO: [EPOCH 00058]train_loss, train_metric: 0.00341, 0.88446; val_loss, val_metric: 0.00885, 0.81793; time elapsed: 8.2 min
2019-11-24 19:59:45,207:INFO: [EPOCH 00059]train_loss, train_metric: 0.00329, 0.88790; val_loss, val_metric: 0.00916, 0.81820; time elapsed: 8.2 min
2019-11-24 20:08:02,551:INFO: Early Stopping: val_metric does not increase 10 rounds
